grant_matched_words,Identifier,Title,Description,Amount Awarded,Award Date,Planned Dates:Start Date,Recipient Org:Name,Recipient Org:Charity Number,Funding Org:Identifier,Funding Org:Name
platform,360G-blf-0030057184,Perfect Place Rejuvenation,"This is a project by a registered charity based in Norfolk. They will use the funding to rejuvenate the primary school conservation pond by replacing the decking, installing a dipping platform and creating wildlife habitats. They will also provide workshops to promote the pond. This will enable the pupils and the wider community to access the site and learn about wildlife.",4091.0,2011-03-04,2011-05-17,Friends Of the School Association,1047850,360G-blf,The Big Lottery Fund
platform,360G-blf-0030119900,(ITV Border) Looking 4ward,"The project will enable the group to expand their current provision of outdoor activities to include a range of interactive sports equipment. The initiative will encourage young people and local families to become more physically active through the provision of the new, challenging sports equipment, and provide the organisation with a platform for future fundraising by making it available to other community groups, as well as reducing anti social behaviour in the area.",59616.0,2011-07-21,2011-08-15,Cockermouth & District Youth Club,1105975,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030059954,Everybody Online in North Lincs,This charity in North Lincolnshire will use funding to train volunteers in basic ICT skills to become digital champions across the area. This will increase digital inclusion and support disadvantaged individuals and communities to access the internet and digital technologies.,7500.0,2011-07-28,2011-09-27,The Crosby Community Association,1107514,360G-blf,The Big Lottery Fund
platform,360G-blf-0030059074,Enhancing Access and Learning at RSPB Fairy Glen Nature Reserve,The Royal Society for The Protection of Birds will carry out improvements to the Fairy Glen nature reserve in the Black Isle. The project will be of benefit to the manyllocal people and  visitors to the site each year and the improvements will allow better access. Tthe grant will fund costs of an access bridge adn a pod dipping platform.,10000.0,2010-11-18,2011-02-01,RSPB,207076,360G-blf,The Big Lottery Fund
analysi,360G-blf-0030078563,Auld Kirk Charitable Trust,"This group exist to facilitate the development of the town's old kirk into an educational and social venue. The grant will fund architect's fees, structural engineer's fees, quantity surveyor's fees, market analysis, valuation survey and an archaeology survey.",10000.0,2008-09-17,2008-10-09,Auld Kirk Charitable Trust,34963,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030101459,Engineering Empowerment and Engagement,"The project will fund the organisation to provide Assistive Technology devices to its residents who suffer from disabilities such as Aquired Brain Injury, MS and Spina Bifida. These include communication aids and environment controls. The grant, over one year, will fund the purchase of Assistive Technology Equipment",201161.0,2010-11-24,2011-07-08,Leonard Cheshire Disability,218186,360G-blf,The Big Lottery Fund
data,360G-blf-0030108415,Here to Stay: people with learning disabilities from new migrant communitie,"This study will aim to discover the current and projected numbers of people from new migrant communities in England requiring support from learning disability services, and how learning disability and voluntary and community sector (VCS) engage with them to promote well-being and improve life chances. It will undertake research  and gather demographical data and first-hand experiences using a mix of methodologies to bring a better understanding of the needs of people with learning disabilities.",9964.0,2008-10-05,2008-11-01,ARC,285575,360G-blf,The Big Lottery Fund
platform,360G-blf-0030075751,Selby Community Field,"Selby Community Trust will enhance the wildlife value of the community field in the heart of Selby Town. They will manage the existing pond by removing the reedmace and replacing it with a variety of oxygenating plants. A lower-level dipping platform will be constructed, and a wildlife and wetland meadow with rotting logs and rocks will be created to increase habitats for mini-beasts. Flowering and fruiting trees will be planted to attract small birds and existing trees and hedgerows maintained.",9283.0,2008-05-14,2008-06-24,Selby Community Trust,523830,360G-blf,The Big Lottery Fund
measur,360G-blf-0030107662,OPEN PLAY,"This two-year project based on two deprived estates in the London Borough of Newham, will provide two 'designer play containers' measuring 40 x 8 feet including toilets, activity space, kitchen area, indoor and outdoor play equipment. The children aged 5-14 years old will be fully involved in the planning, running and development of the project.The play projects will also be fully accessible to disabled children who will participate in play activities with non-disabled children.",245000.0,2008-09-16,2009-08-25,Community Links Trust Ltd,1018517,360G-blf,The Big Lottery Fund
platform,360G-blf-0030057358,Disability Hate Crime - a Community and National Concern,"This is a project by a community organisation in Derby. The group will use funding to run a national seminar on disability hate crime, and improve their website and helpline. This will increase the group's capacity and provide people with physical and learning disabilities with a platform for debate.",8800.0,2010-12-16,2011-02-22,Voice UK,1053532,360G-blf,The Big Lottery Fund
measur,360G-blf-0030105422,Sexual Abuse and Violence UK (SAV UK),"This project will research sexual abuse and vioence to determine: Actual prevalence, since current figures are only ""the tip of the iceberg""; Public perception, beliefs and attitudes; Consequences, experiences and effects on individuals, families and communities; Similarities and differences in the experiences of marginalised people; Demand for services and the most effective types; Barriers in accessing services; Different preventative measures. A large UK telepone and onlinv survey will be conducted.",10000.0,2008-10-05,2008-11-01,The Survivors Trust,1109305,360G-blf,The Big Lottery Fund
map,360G-blf-0030105418,Meeting the Play and Childcare needs of disabled children.,"This research identify the best way that public policy and public resources can assist parents and communities meet the play and childcare needs of school aged children with disabilities in Greater London, map and analyse current play and childcare provision for school aged disabled children, map existing public financial allocations and spending, study and analyse resource allocation practices and related decision-making processes.",4797.0,2008-10-05,2008-10-13,London Play,1104731,360G-blf,The Big Lottery Fund
databas,360G-blf-0030105360,Giving Hope to Alstrom Patients,"This project will aim to advance knowledge of the rare genetic condition Alstrom Syndrome, bringing health benefits in the short term and the prospect of genetically engineered treatments in the longer term. It will also reveal the true incidence of the condition, uncovering undiagnosed cases; set up the first nationwide database of patients and establish the first Alstrom blood and tissue bank. Beneficiaries will include undiagnosed patients and those given hope of new treatments.",7750.0,2008-10-05,2008-11-10,Alstrom Syndrome UK,1071196,360G-blf,The Big Lottery Fund
measur,360G-blf-0030105847,The Sickle Cell Disease Detector (SCADD) Project,"Sickle Cell Disease is incurable, causes major organ damage and drastically shortens life. Therapies need a reliable measure of disease severity but laboratory tests are impossible principally because blood taken from patients changes rapidly outside the body. The Sickle Cell Society has already developed a camera to detect diseased red blood cells inside the body. This project will now develop a more sensitive method of detection in preparation for large-scale clinical trials of the technique.",8450.0,2008-10-05,2008-10-15,The Sickle Cell Society,1046631,360G-blf,The Big Lottery Fund
databas,360G-blf-0030023028,Conference and workshops:  Adverse Psychiatric Side Effects of Medicines,This project will organise a conference and workshops to increase public awareness of the potentially adverse side affects of prescribed medicines. The group will also create an information database.,8478.0,2008-10-07,2008-10-13,APRIL Limited,1072305,360G-blf,The Big Lottery Fund
databas,360G-blf-0030015036,Vehicles for Success,"This group will use an award to identify the transport needs of local organisations in order to improve their services. They will establish a database of vehicle-owning groups to encourage shared resources, and promote their transport and training services within the wider community.",8500.0,2009-03-30,2009-04-14,Greater Manchester Community Transport Operators' Forum,1120427,360G-blf,The Big Lottery Fund
map,360G-blf-0030013097,Sonar Bangla Art Project (Golden Bangladesh),A project by this charity to design a 3D map and provide arts and crafts workshops to learn about Bangladesh. The results will be exhibited at the British Museum. This will allow the whole community to participate in creative and educational activities.,5000.0,2009-03-17,2009-03-23,Mary Ward Centre,223066,360G-blf,The Big Lottery Fund
databas,360G-blf-0030096016,Barracks Lane Community Garden,Barracks Lane Community Garden Project was formed in April 2002. The project will see a Spring Watch Celebratory Event in June with follow-up workshops over subsequent weekends held for all members of the community. They will also develop and extend their gardening scheme to enable open access at weekends and update their databases to monitor visitor information.,4860.0,2009-04-15,2009-05-01,Barracks Lane Community Garden Project,1116544,360G-blf,The Big Lottery Fund
platform,360G-blf-0030095393,Stonebridge City Farm,"The Stonebridge Farm Association, formed in 1979, offers a farm-based learning environment in Nottingham. This project will create a minibeast corner, install a pond-dipping platform, carrying out planting and hold a school wildlife activity and a moth and bat evening.",4713.0,2009-04-15,2009-05-01,Stonebridge City Farm,508565,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030004542,Computer Numeric Control (CNC) Training for Social Enterprise Development,This group assists people recovering from mental illness to relieve suffering and encourage their education. The project is to provide training sessions for members to use an engraving machine to gain skills in modern technology and move on into employment.,9800.0,2008-03-19,2008-04-03,Workwise (Suffolk) Ltd,1082265,360G-blf,The Big Lottery Fund
hardwar,360G-blf-0030094543,The CAT Project (Communications and Technology),"Warrington Council for Voluntary Service will use an award to update computer hardware and software to enhance the organisation's effectiveness, and provide volunteers and staff with relevant industry standard training. The new equipment will allow staff members to take training facilities out into the community, and develop the organisation's survey building expertise.",9838.0,2009-05-22,2009-07-07,Warrington Council for Voluntary Service,1110273,360G-blf,The Big Lottery Fund
analysi,360G-blf-0030092503,Asian Women's Mental Health Research & Needs Analysis Project,"This is a project by a community organisation in Dudley, West Midlands.  The group will use the funding to run a needs analysis project, to explore the issues and barriers faced by Pakistani women in accessing mental health services. This will allow the group, through focus groups, community research and mentoring, to support isolated women to access mainstream services.",10000.0,2010-07-29,2010-09-28,Humaara Project,1138232,360G-blf,The Big Lottery Fund
data,360G-blf-0030098245,Upgrading of computers,"Wakefield District Citizens Advice Bureaux will use the award to upgrade their computer equipment. The new equipment will improve the organisation's ability to access advice from the Citizens Advice National advice system, and CASE data base to record client cases. It will also enable them to train more volunteers who will improve access to advice.",9732.0,2010-01-08,2010-02-09,Wakefield District Citizens Advice Bureaux,1058086,360G-blf,The Big Lottery Fund
platform,360G-blf-0030106080,Kidz Unlimited,"This project will provide a new platform for young wheelchair users aged 13-25 to become Whizz-Kidz Ambassadors. The Ambassadors will come together in a new England-wide network of 48 Ambassador Clubs and affect positive change through local and national campaigning and lobbying. The issues that this project hopes to raise, focus upon the problems that young disabled people face, both attitudinal and physical, in accessing routes into employment.",2893086.0,2008-09-11,2009-05-11,Whizz-Kidz,802872,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030093446,Harlow Talking Newspaper Going Digital,This is a project by a charity in Essex. The group will use funding to purchase equipment to provide a digital news service for visually impaired people. This will enable the group to provide news and information through digital technology which will provide a valuable service to visually impaired people in the community.,6141.0,2010-07-15,2010-08-24,Harlow Talking Newspaper,279558,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030099019,Normadic Notes: From Isolation & Deprivation to Notation and Inspiration,"This project in Radstock, Avon, will provide music technology enrichment programmes to primary school pupils in rural isolated areas. The project aims to support and encourage the beneficiaries in developing new creative skills. These sessions will be run outside the school day.",10000.0,2009-05-22,2009-07-07,Writhlington Trust,1111515,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030136239,3tc Strategic Development Advisors (SDA) pilot project,"This project aims to act as a pilot to develop improved Information Communication Technology (ICT) strategies for 30 VCS organisations across Merseyside. The project will make specific recommendations that will enhance the beneficiary organisation's capacity to manage and deliver their services through ICT. The recommended strategies will also consider developments in other areas such as governance, workforce/volunteer development etc which could inhibit the long-term strategic development of the groups.",64825.0,2007-12-05,2008-02-19,Merseyside Third Sector Technology Centre,1003218,360G-blf,The Big Lottery Fund
platform,360G-blf-0030088859,Voices4development,"Women4Resources will launch a project aimed at collecting testimonies from women in Wales and Africa, publicising their ideas, successes and difficulties and providing a platform for participants to connect and develop. The project meets the Awards for all Wales of improving the quality of life. This grant for £5,000 will fund website design and adaptation, training, sessional workers, video equipment, volunteer costs, travel costs and venue hire.",5000.0,2010-04-07,2010-06-07,Women4Resources,1126029,360G-blf,The Big Lottery Fund
platform,360G-blf-0030136542,Minerva,"This project will fund curriculum development expertise to work with over 100 organisations individually and through curriculum clusters, to review and revise service delivery. South Yorkshire Voluntary and Community Sector Training Consortium will develop accessible routes to nationally recognised qualifications for tutors and support workers within the VCS, along with activities to support the curriculum development in the efforts to create a level platform with other Further Education organisations.",432978.0,2007-12-05,2008-03-02,South Yorkshire Voluntary & Community Sector Training Consortium,1088161,360G-blf,The Big Lottery Fund
databas,360G-blf-0030004345,Training and administrative computers for Sea Cadets,"This Sea Cadet group provides activities and training for boys and girls.  They will improve communication and training by using lessons available on CD, PowerPoint presentations, the intranet and the centrally provided database.  This will enable them to improve training and communicate effectively with parents, volunteers and cadets.",9986.0,2007-12-11,2008-01-02,Eastbourne Unit 117 of the Sea Cadet Corps,305209,360G-blf,The Big Lottery Fund
map,360G-blf-0030135466,Local Commissioning and Procurement Unit,"This project will create a Local Commissioning and Procurement Unit to improve the knowledge, skills and capacity of local infrastructure organisations, this will enable them to assist local VSC groups to engage more effectively in the commissioning and delivery of public services. An essential element of the project will be a detailed mapping exercise to identify all current and planned activity in relation to VCS engagement in public service delivery at national, regional, sub-regional and local levels.",1054449.0,2007-12-05,2008-05-01,National Association for Voluntary and Community Action,1001635,360G-blf,The Big Lottery Fund
text messag,360G-blf-0030089275,Community Media Project,"This charity based in Leeds supports members of hard to reach community. The group will use the award to enhance communication with its members by developing a newsletter, promotional DVDs and a web text messaging service. The project will improve the service that the group is able to deliver to its beneficiaries and provide information and training to help people work together to tackle problems within their own communities.",9853.0,2010-04-22,2010-06-08,Nigerian Community Leeds,1129681,360G-blf,The Big Lottery Fund
measur,360G-blf-0030088165,Male Cancer Awareness Educational Website,"A project by this national charity to make improvements to their website, creating interactive features that will enable the group to more accurately measure and evaluate the effectiveness of their awareness campaigning work. The project will enable the group to work more closely with target beneficiaries to raise awareness of male cancer across the UK.",10000.0,2010-04-22,2010-06-22,Male Cancer Awareness Campaign,1110367,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030095239,New Technology for All,This organisation represents a number of local Women's Institutes based in the East Kent region. They will use an award to provide members with access to computer and technology training available from their premises in Canterbury and outlying venues. This will enable members to require and improve skills which will help them to undertake the charitable aims of the organisation.,5668.0,2009-07-02,2009-09-01,Kent - East Kent Federation of Womens Institutes,219375,360G-blf,The Big Lottery Fund
data,360G-blf-0030091517,"Access, Rehabilitation, Training A.R.T","This is a project by a charity in West Sussex. The group will use the funding to train offenders to refurbish, safety check and remove data from donated PC's which will then be shipped to schools in developing countries. This will increase the life skills, self esteem and IT skills of offenders.",9163.0,2010-05-20,2010-08-17,C.A.R.E Computers for Developing Countries Limited,1119537,360G-blf,The Big Lottery Fund
databas,360G-blf-0030094777,Upskilling and Expanding Trusteeship in Newham's Third Sector Organisations,"A project by this charity based in Newham, London, that aims to increase trusteeship in the voluntary sector. They will use funding to identify current Trustee opportunities and collate them on a database. They will publicise these opportunities and find appropriate people for these placements, providing ongoing training to the successful applicants.",1630.0,2009-06-19,2009-07-28,The Volunteer Network Centre (Forest Gate & Plaistow),1099298,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030015275,Mardyke Community Up-Skilling project,This project will provide training in computer literacy and information technology for unemployed people so they can upgrade their skills and increase their chances of securing employment.,5000.0,2009-02-17,2009-02-23,Mardyke Youth and Community Association,1112011,360G-blf,The Big Lottery Fund
map,360G-blf-0030109398,SSART team control van,"The project will allow this voluntary organisation to purchase a replacement control vehicle to increase its capacity for search and rescue assignments. The new vehicle will have mapping facilities, ample lighting, communications, a built in generator and a side awning that will enable it to link into emergency services control vehicles.",49741.0,2009-11-26,2009-12-20,Staffordshire Search and Rescue Team,1105836,360G-blf,The Big Lottery Fund
data,360G-blf-0030096145,Single Parent Advancement and Learning Opportunities - Participatory Resear,"This research project will improve learning opportunities, well-being and potential life chances of disadvantaged single parents on Income Support and Job Seekers Allowance. It will draw together evidence grounded in the one parent proofing of services from providers of training and employment opportunities commissioned under the new JSA programmes. It will analyse the data collected with the aim of developing workable One Parent Proofed models, beneficial to both service users and service providers.",398713.0,2008-11-20,2009-02-04,Single Parent Action Network,1092929,360G-blf,The Big Lottery Fund
hardwar,360G-blf-0030019120,Improving IT Capacity,"This registered charity provides advice, information and support for sufferers of myalgic encephalomyelitis (ME), chronic fatigue syndrome (CFS) and associated illnesses. It will use the award to upgrade its computer hardware and software. A new, improved website will be launched and the group will also be able to produce its own printing materials.",6909.0,2008-06-10,2008-07-01,Sussex ME/CFS Society,1082681,360G-blf,The Big Lottery Fund
platform,360G-blf-0030022859,BAC's Young People's Season,"This project will present a week of performance, workshops and a discussion forum dedicated to young people. It will provide a platform for performers, showcase collaborations between local schools and launch two new programmes. The discussion forum will be open to members of the public.",5000.0,2009-01-20,2009-01-26,Battersea Arts Centre,282857,360G-blf,The Big Lottery Fund
platform,360G-blf-0030056640,Longton Central Hall Community Project,This community group in Stoke-on-Trent will use funding to install a platform lift for entry to their community hall in this deprived area. This will improve the accessibility of the community hall building to those with a range of mobility issues.,10000.0,2011-01-20,2011-03-08,Longton Methodist Central Hall,1138619,360G-blf,The Big Lottery Fund
measur,360G-blf-0030107134,Haringey VCO Infrastructure Development Project,"The project will help organisations to deliver sustainable and high quality services to disadvantaged and under represented people in Haringey. It will deliver training, information and support for frontline VCOs in three main areas - improving understanding so VCOs are better able to enter into procurement and contracting; improving quality assurance measures to meet standards and demonstrate best practice; providing a centralised VCS information hub for more efficient communication.",454229.0,2009-01-22,2009-04-28,Haringey Association Of Voluntary And Community Organisations,1100710,360G-blf,The Big Lottery Fund
platform,360G-blf-0030107290,Target HR,"The project will provide shared access to back office services to 300 small and medium sized organisations, particularly those serving marginalised communities, building on VAC's delivery experience to enable them to manage their organisation's human resources effectively. The project will also introduce organisations to support networks and signpost to training activities. A website will also be created to provide links to other related websites, act as a bulletin board and create a communication platform.",497893.0,2009-01-22,2009-08-03,Voluntary Action Camden (VAC),802186,360G-blf,The Big Lottery Fund
text messag,360G-blf-0030022053,Upgrade and Enhanced IT facilities,This branch of the Samaritans will use an award to upgrade their IT services and implement a new service to support callers who choose to contact by text messaging. The new equipment will allow them to streamline and develop the services they provide.,2055.0,2009-01-23,2009-02-02,The Samaritans Of South Cheshire,238176,360G-blf,The Big Lottery Fund
platform,360G-blf-0030018882,Portrait,This arts group will use funding to run three projects at separate sites targeting young people with special needs and providing integrated activities for disabled and non-disabled children. This project will use art and dance to create an equal learning platform for children to learn from each other and challenge perceptions of disability.,9900.0,2008-08-29,2008-09-02,Project Volume,1129107,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030100020,Buffalo Community Centre IT Network Project,"This community centre will use funding to purchase new computers, printers and software for their computer suite to give members the chance to get used to new technology, especially if they wish to find employment or participate in computer training.",9994.0,2009-10-01,2009-10-27,Cowpen Quay Community Association,1131449,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030020319,Life Through Our Lens,A project to deliver a series of workshops in music technology and film making for young people culminating in a short film.,5000.0,2008-09-15,2008-09-22,Straight Up Community Arts Ltd,1117946,360G-blf,The Big Lottery Fund
databas,360G-blf-0030023744,Datacare,A project to develop a database to meet the groups specific operational and reporting needs.,3000.0,2008-09-16,2008-09-22,Communities Empowerment Network,1099111,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030135365,TUNED-IN,"Escape: Community Art In Action's TUNED-IN project will combine arts and technology, including using redundant ICT equipment to create sculptures, stories and films. Children and young people will also be able to use an online hub to design play projects, allowing them access to these at home or together in groups at project locations.The project also works with partner organisations and aims to work with at least 6500 beneficiaries aged 8-16 throughout Warwickshire.",246175.0,2008-09-16,2009-01-11,Escape Community Art In Action,1097718,360G-blf,The Big Lottery Fund
platform,360G-blf-0030105242,Strengthening infrastructure services to the 3rd sector in rural South York,"The project, based in South Yorkshire, aims to strengthen the influence that rural communities have in the formulation and delivery of public sector policy and provision. A collaborative approach aims to further strengthen and streamline the VCS sub regional community by avoiding areas of duplication, identifying knowledge gaps and providing the platform for sharing good practice.",348248.0,2009-01-22,2009-04-28,Rural Action Yorkshire Limited,515538,360G-blf,The Big Lottery Fund
analysi,360G-blf-0030105498,Sheffield Occupational Cancer Prevention Study,"The project aims to identify current working conditions that could lead to an increased risk of bladder cancer by taking occupational histories from patients with bladder cancer and matched controls. Statistical analysis will be used to establish the identity of carcinogens, tasks and occupations with raised bladder cancer risk. A prevention programme will be designed around the outcomes of this study.",7300.0,2008-10-05,2008-11-17,Sheffield Occupational Health Advisory Service  (SOHAS),1085464,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030106376,"Healthtech4ALL: Closing the Gap between Patient Need, Clinicians & Industry","This project will aim to reverse the present situation in which the users of healthcare technologies are excluded from processes that drive innovation and development. The main beneficiaries will be marginalised patient groups who currently don't engage with consultation frameworks, including those who speak little English and those living within disadvantaged rural communities. The research is part of a larger project which will improve patient input into technological research and development.",9200.0,2008-10-05,2009-02-26,Bowel and Cancer Research,1119105,360G-blf,The Big Lottery Fund
platform,360G-blf-0030014554,Purchase of Hydraulic Platform,This group provides disabled people with the opportunity to ride or carriage drive with horses. An award will enable them to purchase an hydraulic platform which will allow more adults and children with severe disabilities to participate.,10000.0,2009-02-02,2009-02-24,Wear Valley Riding for the Disabled Association,1124898,360G-blf,The Big Lottery Fund
measur,360G-blf-0030105596,"Closing the Gaps: Accelerating Improved MNH in Poor, Marginalised Communiti","Interact Worldwide has developed a portfolio which will contribute principally to improved mother and child health but also to improved measures to tackle HIV/AIDS by contributing to improving maternal and neonatal health in highly underserved areas of Sub Saharan Africa. It will aim to close the gap between the community and the healthcare system. This portfolio consists of three new projects which will focus on mother and newborn health in Ethiopia, Malawi and Uganda. ",2805404.0,2009-02-09,2009-03-03,Interact Worldwide,1001698,360G-blf,The Big Lottery Fund
platform,360G-blf-0030100916,Outreach for Shropshire,"The project currently offers older people the opportunity to join a free, inclusive community organisation which provides a regular programme of social and educational community events. The project's expansion will also allow for the increase in the frequency of the publication of the organisation's existing news magazine, through which a platform is provided from which the needs and aspirations of older people can be communicated.",296323.0,2010-02-11,2010-04-01,Shropshire Association of Senior Citizen Forums,1105512,360G-blf,The Big Lottery Fund
map,360G-blf-0030088175,Click-on-Thames; a digital Thames Learning location map,A project by this community group based in Camden to create an online interactive map which promotes the activities of local organisations in one central location. This will be easy to use and will help groups coordinate their services and activities. This map will be regularly updated and will also feature news of the group's activities and successes.,10000.0,2010-02-19,2010-04-27,Thames Estuary Partnership,1083199,360G-blf,The Big Lottery Fund
measur,360G-blf-0030119267,Inspiring Impact,"This project will encourage charities and social enterprises to plan and manage their work on the basis of its impact. This three-year Inspiring Impact project feeds into a 10-year programme of work led by New Philanthropy Capital (NPC) and involves an array of organisations interested in better impact measurement by CSO's. NPC proposes to do this by helping organisations measure impact to enable them to manage, increase and communicate it.",280000.0,2012-05-21,2012-07-01,New Philanthropy Capital,1091450,360G-blf,The Big Lottery Fund
databas,360G-blf-0030013010,VC Connect Database,"This community organisation will use an award to set up a new database of local community and voluntary groups, from which they will be able to work with local community groups more efficiently. The improved database will make mailing lists easier to run, make the information about community groups easier to access by both staff and members of the public, and highlight community interests that are currently underrepresented.",9607.0,2009-10-23,2009-12-20,Gedling Community and Voluntary Services,1108272,360G-blf,The Big Lottery Fund
data,360G-blf-0030056275,Reaching More People,"This is a project by a disability action group in Richmond. They will use funding to develop a more up-to-date and informative website and will integrate its current data into one database. This will provide disabled people with easier access to information and allow the group to access centralised information, providing more effective support services.",7500.0,2010-11-18,2011-01-18,Richmond Advice And Information On Disability,1074788,360G-blf,The Big Lottery Fund
databas,360G-blf-0030056275,Reaching More People,"This is a project by a disability action group in Richmond. They will use funding to develop a more up-to-date and informative website and will integrate its current data into one database. This will provide disabled people with easier access to information and allow the group to access centralised information, providing more effective support services.",7500.0,2010-11-18,2011-01-18,Richmond Advice And Information On Disability,1074788,360G-blf,The Big Lottery Fund
databas,360G-blf-0030059446,Networking our Community,This is a project by a registered charity in Cheshire. The group will use funding to create an interactive website and database. This will provide a continuously updated resource for local voluntary and community sector groups to network and promote partnership working.,9900.0,2010-11-18,2011-01-25,Community and Voluntary Services Cheshire East,1132927,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030098098,Science Alive Wake Up Call,"This charity provides education in science and technology in Essex. They will use the award to deliver a programme of interactive workshops addressing smoking, obesity, underage sex and drug and alcohol misuse. The project aims to tackle health and wellbeing issues affecting local young people.",10000.0,2009-11-12,2010-01-26,Science Alive,1107549,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030106016,LiveNet,"Royal Mencap Society will use the grant to run Livenet, a series of workshops teaching people with learning disabilities, their families, carers, and volunteers to use information and communication technology (ICT) such as the internet, computers, games consoles, digital cameras and digital video recording equipment.",1200000.0,2009-03-27,2009-08-30,Royal Mencap Society,222377,360G-blf,The Big Lottery Fund
databas,360G-blf-0030012886,Experience Volunteering Service,"This community association will use an award to develop a community website with a related database, allowing local residents to search for available volunteering opportunities and options. A volunteering event will also take place to promote local volunteering opportunities, which will include catering and the production of publicity material to promote the event.",2260.0,2009-03-30,2009-04-14,The East Manchester Community Association,1131060,360G-blf,The Big Lottery Fund
map,360G-blf-0030013040,Rainhill Heritage Exhibition,"This group aims to enhance and preserve the history and surroundings of the township of Rainhill. They will use an award to organise a three-day exhibition covering the heritage of Rainhill, a free event open to everyone. They will have displays of photographs, annotated maps and other materials including  both oral and written memories of Rainhill, and are collecting display materials from volunteer donations and other local groups.",9950.0,2009-03-30,2009-04-14,Rainhill Civic Society,509638,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030055918,Reaching Communities - digital inclusion,"This is a project by a registered charity in Rushden, Northampton. The group will use the funding to provide a series of outreach events geared towards digitally and socially excluded or isolated people. This will enable beneficiaries to overcome fears and barriers and ultimately keep up with technology and help reduce levels of isolation.",9679.0,2012-01-19,2012-03-20,Nene Valley Community Action,1130024,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030118828,Healthwise Countywide,Age UK Herts will aim to alleviate the difficulties faced by people over 50 who experience depression or dementia through the provision of a countywide initiative to improve their physical & psychological wellbeing. The Healthwise project will be expanded where staff will use remote technology to reach more isolated people in the area. The project will then be delivered through weekly health awareness workshops and one-to-one home based sessions for those who are either isolated or have more complex needs.,498391.0,2012-01-19,2012-04-09,Age UK Hertfordshire,1116662,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030116759,The St James Community Centre and Arts Cafe,"St James Centre Trust is a new project aiming to improve levels of education, employment, health and aspiration among the community of East Malling, Kent, through a community centre and arts cafe. Activities hosted at the disused school will include accredited courses in literacy and numeracy, craft groups, a vegbox scheme, dance classes and weight loss sessions. People will have the opportunity to work on the community allotment and participate in technology workshops at the centre's radio station.",297176.0,2012-01-21,2012-04-23,The St James Centre Trust,1122423,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030107903,'Telling Stories' - capturing family histories & cultural stories,"This project based in the East of Birmingham aims to bring family members together and provide a supportive environment to share traditional stories and legends, experience other cultural traditions and explore personal family histories. The project will help young people connect with their parents and grandparents. Events will be recorded using ICT technology and published on a dedicated website and families will be encouraged to create their own family tree or scrapbook to detail events.",44400.0,2009-03-17,2009-07-28,Saltley Community Association,502642,360G-blf,The Big Lottery Fund
technolog,360G-blf-0030017806,Hands-on Science and Math for Children,"This group aims to advance the education of children and young people in Essex, particularly in the subjects of science, maths and technology. This project will provide weekend learning activities for children aged five to 12 who suffer from sickle cell genetic disorders. It will also involve their families and friends through co-learning and volunteer opportunities.",8442.0,2009-09-17,2009-10-13,Tops Learning Systems (TOPS),1128652,360G-blf,The Big Lottery Fund
databas,360G-blf-0030106381,The NAPAC Support Line,"This expansion of an existing project will enable the the National Associaton of People Abused in Childhood to increase the capacity of their national freephone support line. Clients can call free and then access signposting and a non-judgemental listening service staffed by volunteers, any time between 10am and 9pm. NAPAC also maintains a database of approximately 500 organisations across the country who are available to assist people with these issues face-to-face.",505210.0,2009-09-09,2010-03-01,The National Association for People Abused in Childhood (NAPAC),1069802,360G-blf,The Big Lottery Fund
data,360G-blf-0030101421,Critical Mass: using operational data to end homelessness,"This 3 year project will be led by Homeless Link in partnership with Centrepoint, Connection at St Martin's in the Fields, Depaul UK (Depaul Trust), Off the Streets and into Work, Julian House, Worthing Churches Homeless Projects, New Horizon Youth Centre and Thames Reach Housing Association Ltd. It will collate data on homeless people to measure the impact of support services as current homelessness research is constrained by lack of quality data about homeless people and the impact of services.",427470.0,2009-10-20,2010-04-01,Homeless Link,1089173,360G-blf,The Big Lottery Fund
measur,360G-blf-0030101421,Critical Mass: using operational data to end homelessness,"This 3 year project will be led by Homeless Link in partnership with Centrepoint, Connection at St Martin's in the Fields, Depaul UK (Depaul Trust), Off the Streets and into Work, Julian House, Worthing Churches Homeless Projects, New Horizon Youth Centre and Thames Reach Housing Association Ltd. It will collate data on homeless people to measure the impact of support services as current homelessness research is constrained by lack of quality data about homeless people and the impact of services.",427470.0,2009-10-20,2010-04-01,Homeless Link,1089173,360G-blf,The Big Lottery Fund
